id,name,note,sort_order
23,"přítomný čas průběhový","<p><b>Přítomný čas průběhový</b> (present continuous) se v angličtině tvoří pomocí pomocného slovesa 'to be' v přítomném čase a příčestí přítomného času (-ing form) hlavního slovesa.</p><br /><p class='pl-2'><b>to be + verb-ing</b></p><br /><p>Průběhový tvar se používá pro právě probíhající činnost.</p><p><span class='inline-block w-44 pl-2'>Právě teď pracuji.</span><b>I am working right now.</b></p><br /><p>Běžněji se používají zkrácené tvary.</p><p><span class='inline-block w-44 pl-2'>Právě teď pracuji.</span><b>I'm working right now.</b></p><br /><p>Prostý tvar se používá pro obecnou činnost - pracuji, mám zaměstnání.</p><p><span class='inline-block w-44 pl-2'>Já pracuji v továrně.</span><b>I work at the factory.</b></p>",23
24,"přítomný čas průběhový - zápor","<p><b>Přítomný čas průběhový - zápor</b> se tvoří pomocí záporky 'not' mezi pomocným slovesem 'to be' a příčestím přítomného času (-ing form) hlavního slovesa.</p><br /><p class='pl-2'><b>to be + not + verb-ing</b></p><br /><p><span class='inline-block w-44 pl-2'>Nepracuješ.</span><b>You are not working.</b></p><br /><p>Běžněji se používají zkrácené tvary.</p><br /><p><span class='inline-block w-44 pl-2'>Já nepracuji.</span><b>You aren't working.</b></p>",24
25,"přítomný čas průběhový - otázky ano/ne","<p><b>Přítomný čas průběhový - otázky ano/ne</b> se tvoří pomocí inverze pomocného slovesa 'to be' a podmětu, následovanou příčestím přítomného času (-ing form) hlavního slovesa.</p><br /><p class='pl-2'><b>to be + subject + verb-ing?</b></p><p class='pl-2'><b>to be + not + subject + verb-ing?</b></p><br /><p><span class='inline-block w-44 pl-2'>Pracuješ?</span><b>Are you working?</b></p><p><span class='inline-block w-44 pl-2'>Nepracuješ?</span><b>Aren't you working?</b></p><br /><p>Kratké odpovědi jsou shodné jako u prostého tvaru:</p><p><span class='inline-block w-44 pl-2'>Ano, pracuji.</span><b>Yes, I am.</b></p><p><span class='inline-block w-44 pl-2'>Ne, nepracuji.</span><b>No, I'm not.</b></p>",25
26,"přítomný čas průběhový - otázky s tázacím zájmenem","<p><b>Přítomný čas průběhový - otázky s tázacím zájmenem</b> se tvoří pomocí inverze pomocného slovesa 'to be' a podmětu, následovanou příčestím přítomného času (-ing form) hlavního slovesa a tázacím zájmenem.</p><br /><p class='pl-2'><b>to be + subject + verb-ing + question word?</b></p><p><span class='inline-block w-44 pl-2'>Co děláš?</span><b>What are you doing?</b></p><br /><p class='pl-2'><b>to be + not + subject + verb-ing + question word?</b></p><p><span class='inline-block w-44 pl-2'>Co neděláš?</span><b>What aren't you doing?</b></p>",26
27,"minulý čas - sloveso to be","<p><b>Minulý čas - sloveso to be</b> se v angličtině tvoří pomocí tvarů 'was' pro první a třetí osobu jednotného čísla a 'were' pro druhou osobu jednotného čísla a všechny osoby množného čísla. Záporné tvary jsou 'wasn't' a 'weren't'. Otázky se tvoří inverzí.</p><br /><p><span class='inline-block w-44 pl-2'>Já byl.</span><b>I was.</b></p><p><span class='inline-block w-44 pl-2'>Ty jsi byl.</span><b>You were.</b></p><p><span class='inline-block w-44 pl-2'>On byl.</span><b>He was.</b></p><p><span class='inline-block w-44 pl-2'>Ona byla.</span><b>She was.</b></p><p><span class='inline-block w-44 pl-2'>Ono bylo.</span><b>It was.</b></p><p><span class='inline-block w-44 pl-2'>My jsme byli.</span><b>We were.</b></p><p><span class='inline-block w-44 pl-2'>Vy jste byli.</span><b>You were.</b></p><p><span class='inline-block w-44 pl-2'>Oni byli.</span><b>They were.</b></p>",27
28,"minulý čas prostý - sloveso to be - zápor","<p><b>Minulý čas prostý - zápor</b> se tvoří pomocí pomocného slovesa 'did' a záporky 'not', následovaného základním tvarem slovesa.</p><br /><p><span class='inline-block w-44 pl-2'>Nepracoval jsem.</span><b>I did not work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracoval jsi.</span><b>You did not work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracoval.</span><b>He did not work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracovala.</span><b>She did not work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracovalo.</span><b>It did not work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracovali jsme.</span><b>We did not work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracovali jste.</span><b>You did not work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracovali.</span><b>They did not work.</b></p><br /><p>V mluvené řeči se běžně používá zkrácený tvar slovesa.</p><br /><p><span class='inline-block w-44 pl-2'>Nepracoval jsem.</span><b>I didn't work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracoval jsi.</span><b>You didn't work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracoval.</span><b>He didn't work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracovala.</span><b>She didn't work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracovalo.</span><b>It didn't work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracovali jsme.</span><b>We didn't work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracovali jste.</span><b>You didn't work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracovali.</span><b>They didn't work.</b></p>",28
29,"minulý čas prostý - be - otázky ano/ne","<p><b>Minulý čas - otázky s tázacím zájmenem</b> se tvoří pomocí inverze pomocného slovesa 'did' a podmětu, následovanou základním tvarem slovesa a tázacím zájmenem.</p><br /><p class='pl-2'><b>Did + subject + verb + question word?</b></p><p><span class='inline-block w-44 pl-2'>Co jsi dělal?</span><b>What did you do?</b></p><br /><p class='pl-2'><b>Did + not + subject + verb + question word?</b></p><p><span class='inline-block w-44 pl-2'>Co jsi nedělal?</span><b>What didn't you do?</b></p><br /><p><b>Krátké odpovědi</b> se tvoří obdobně jako v předchozích případech.</p><p><span class='inline-block w-44 pl-2'>Ano, byl jsem.</span><b>Yes, I was.</b></p><p><span class='inline-block w-44 pl-2'>Ne, nebyl jsem.</span><b>No, I wasn't.</b></p><p><span class='inline-block w-44 pl-2'>Ano, byli.</span><b>Yes, they were.</b></p><p><span class='inline-block w-44 pl-2'>Ne, nebyli.</span><b>No, they weren't.</b></p>",29
30,"minulý čas prostý - be - otázky s tázacím zájmenem","<p><b>Minulý čas - otázky s tázacím zájmenem</b> se tvoří pomocí inverze pomocného slovesa 'did' a podmětu, následovanou základním tvarem slovesa a tázacím zájmenem.</p><br /><p class='pl-2'><b>Did + subject + verb + question word?</b></p><p><span class='inline-block w-44 pl-2'>Co jsi dělal?</span><b>What did you do?</b></p><br /><p class='pl-2'><b>Did + not + subject + verb + question word?</b></p><p><span class='inline-block w-44 pl-2'>Co jsi nedělal?</span><b>What didn't you do?</b></p>",30
31,"minulý čas prostý","<p><b>Minulý čas prostý</b> (past simple) se v angličtině tvoří přidáním koncovky -ed k pravidelným slovesům. Nepravidelná slovesa mají své vlastní tvary, které je třeba se naučit. Záporné věty se tvoří pomocí pomocného slovesa 'did' a záporky 'not', následovaného základním tvarem slovesa. Otázky se tvoří inverzí pomocného slovesa 'did' a podmětu.</p><br /><p><span class='inline-block w-44 pl-2'>Já pracoval.</span><b>I worked.</b></p><p><span class='inline-block w-44 pl-2'>Ty jsi pracoval.</span><b>You worked.</b></p><p><span class='inline-block w-44 pl-2'>On pracoval.</span><b>He worked.</b></p><p><span class='inline-block w-44 pl-2'>Ona pracovala.</span><b>She worked.</b></p><p><span class='inline-block w-44 pl-2'>Ono pracovalo.</span><b>It worked.</b></p><p><span class='inline-block w-44 pl-2'>My jsme pracovali.</span><b>We worked.</b></p><p><span class='inline-block w-44 pl-2'>Vy jste pracovali.</span><b>You worked.</b></p><p><span class='inline-block w-44 pl-2'>Oni pracovali.</span><b>They worked.</b></p><br /><p>Je možné také vytvořit minulý čas s použitím pomocného slovesa <b>did</b> a přítomného tvaru slovesa. Tento tvar je brán jako s větším důrazem na zápor.</p><br /><p><span class='inline-block w-44 pl-2'>Já pracoval.</span><b>I did work.</b></p><p><span class='inline-block w-44 pl-2'>Ty jsi pracoval.</span><b>You did work.</b></p><p><span class='inline-block w-44 pl-2'>On pracoval.</span><b>He did work.</b></p><p><span class='inline-block w-44 pl-2'>Ona pracovala.</span><b>She did work.</b></p><p><span class='inline-block w-44 pl-2'>Ono pracovalo.</span><b>It did work.</b></p><p><span class='inline-block w-44 pl-2'>My jsme pracovali.</span><b>We did work.</b></p><p><span class='inline-block w-44 pl-2'>Vy jste pracovali.</span><b>You did work.</b></p><p><span class='inline-block w-44 pl-2'>Oni pracovali.</span><b>They did work.</b></p>",31
32,"minulý čas prostý - zápor","<p><b>Minulý čas prostý - zápor</b> se tvoří pomocí pomocného slovesa 'did' a záporky 'not', následovaného základním tvarem slovesa.</p><br /><p><span class='inline-block w-44 pl-2'>Nepracoval jsem.</span><b>I did not work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracoval jsi.</span><b>You did not work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracoval.</span><b>He did not work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracovala.</span><b>She did not work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracovalo.</span><b>It did not work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracovali jsme.</span><b>We did not work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracovali jste.</span><b>You did not work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracovali.</span><b>They did not work.</b></p><br /><p>V mluvené řeči se běžně používá zkrácený tvar slovesa.</p><br /><p><span class='inline-block w-44 pl-2'>Nepracoval jsem.</span><b>I didn't work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracoval jsi.</span><b>You didn't work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracoval.</span><b>He didn't work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracovala.</span><b>She didn't work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracovalo.</span><b>It didn't work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracovali jsme.</span><b>We didn't work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracovali jste.</span><b>You didn't work.</b></p><p><span class='inline-block w-44 pl-2'>Nepracovali.</span><b>They didn't work.</b></p>",32
33,"minulý čas prostý - be - otázky ano/ne","<p><b>Minulý čas - otázky s tázacím zájmenem</b> se tvoří pomocí inverze pomocného slovesa 'did' a podmětu, následovanou základním tvarem slovesa a tázacím zájmenem.</p><br /><p class='pl-2'><b>Did + subject + verb + question word?</b></p><p><span class='inline-block w-44 pl-2'>Co jsi dělal?</span><b>What did you do?</b></p><br /><p class='pl-2'><b>Did + not + subject + verb + question word?</b></p><p><span class='inline-block w-44 pl-2'>Co jsi nedělal?</span><b>What didn't you do?</b></p><br /><p><b>Krátké odpovědi</b> se tvoří obdobně jako v předchozích případech.</p><p><span class='inline-block w-44 pl-2'>Ano, byl jsem.</span><b>Yes, I was.</b></p><p><span class='inline-block w-44 pl-2'>Ne, nebyl jsem.</span><b>No, I wasn't.</b></p><p><span class='inline-block w-44 pl-2'>Ano, byli.</span><b>Yes, they were.</b></p><p><span class='inline-block w-44 pl-2'>Ne, nebyli.</span><b>No, they weren't.</b></p>",33
34,"minulý čas - otázky s tázacím zájmenem","<p><b>Minulý čas - otázky na předmět s tázacím zájmenem</b> se tvoří pomocí inverze pomocného slovesa 'did' a podmětu, následovanou základním tvarem slovesa a tázacím zájmenem.</p><br /><p class='pl-2'><b>Tázací zájmeno + did + zájmeno + sloveso?</b></p><p><span class='inline-block w-44 pl-2'>Co jsi dělal?</span><b>What did you do?</b></p><br /><p><b>Minulý čas - otázky na podmět s tázacím zájmenem</b> se tvoří pomocí inverze pomocného slovesa minulým tvarem slovesa a tázacím zájmenem.</p><br /><p class='pl-2'><b>Tázací zájmeno + sloveso + zájmeno?</b></p><p><span class='inline-block w-44 pl-2'>Co ti volal?</span><b>Who called you?</b></p>",34
35,"budoucí čas - will","<p><b>Budoucí čas - will</b> se v angličtině tvoří pomocí pomocného slovesa 'will' následovaného základním tvarem slovesa.</p><br /><p><span class='inline-block w-44 pl-2'>Budu pracovat.</span><b>I will work.</b></p><p><span class='inline-block w-44 pl-2'>Budeš pracovat.</span><b>You will work.</b></p><p><span class='inline-block w-44 pl-2'>Bude pracovat.</span><b>He/She/It will work.</b></p><p><span class='inline-block w-44 pl-2'>Budeme pracovat.</span><b>We will work.</b></p><p><span class='inline-block w-44 pl-2'>Budete pracovat.</span><b>You will work.</b></p><p><span class='inline-block w-44 pl-2'>Budou pracovat.</span><b>They will work.</b></p><br /><p>V mluvené řeči se běžně používá zkrácený tvar <b>'ll</b>.</p><br /><p><span class='inline-block w-44 pl-2'>Budu pracovat.</span><b>I'll work.</b></p><p><span class='inline-block w-44 pl-2'>Budeš pracovat.</span><b>You'll work.</b></p><p><span class='inline-block w-44 pl-2'>Bude pracovat.</span><b>He/She/It'll work.</b></p><p><span class='inline-block w-44 pl-2'>Budeme pracovat.</span><b>We'll work.</b></p><p><span class='inline-block w-44 pl-2'>Budete pracovat.</span><b>You'll work.</b></p><p><span class='inline-block w-44 pl-2'>Budou pracovat.</span><b>They'll work.</b></p>",35
36,"budoucí čas - will - zápor","<p><b>Budoucí čas záporný - will not</b> se v angličtině tvoří pomocí pomocného slovesa 'will not' následovaného základním tvarem slovesa.</p><br /><p><span class='inline-block w-44 pl-2'>Nebudu pracovat.</span><b>I will not work.</b></p><p><span class='inline-block w-44 pl-2'>Nebudeš pracovat.</span><b>You will not work.</b></p><p><span class='inline-block w-44 pl-2'>Nebude pracovat.</span><b>He/She/It will not work.</b></p><p><span class='inline-block w-44 pl-2'>Nebudeme pracovat.</span><b>We will not work.</b></p><p><span class='inline-block w-44 pl-2'>Nebudete pracovat.</span><b>You will not work.</b></p><p><span class='inline-block w-44 pl-2'>Nebudou pracovat.</span><b>They will not work.</b></p><br /><p>V mluvené řeči se běžně používá zkrácený tvar <b>won't</b>.</p><br /><p><span class='inline-block w-44 pl-2'>Nebudu pracovat.</span><b>I won't work.</b></p><p><span class='inline-block w-44 pl-2'>Nebudeš pracovat.</span><b>You won't work.</b></p><p><span class='inline-block w-44 pl-2'>Nebude pracovat.</span><b>He/She/It won't work.</b></p><p><span class='inline-block w-44 pl-2'>Nebudeme pracovat.</span><b>We won't work.</b></p><p><span class='inline-block w-44 pl-2'>Nebudete pracovat.</span><b>You won't work.</b></p><p><span class='inline-block w-44 pl-2'>Nebudou pracovat.</span><b>They won't work.</b></p>",36
37,"budoucí čas - will - otázky ano/ne","<p><b>Budoucí čas - otázky ano/ne</b> se tvoří pomocí inverze pomocného slovesa 'will' a podmětu, následovanou základním tvarem slovesa.</p><br /><p class='pl-2'><b>Will + subject + verb?</b></p><p><span class='inline-block w-44 pl-2'>Budeš pracovat?</span><b>Will you work?</b></p><br /><p class='pl-2'><b>Will + not + subject + verb?</b></p><p><span class='inline-block w-44 pl-2'>Nebudeš pracovat?</span><b>Won't you work?</b></p><br /><p>Kratké odpovědi jsou shodné jako u prostého tvaru:</p><p><span class='inline-block w-44 pl-2'>Ano, budu.</span><b>Yes, I will.</b></p><p><span class='inline-block w-44 pl-2'>Ne, nebudu.</span><b>No, I won't.</b></p>",37
38,"budoucí čas - will - otázky s tázacím zájmenem","<p><b>Budoucí čas - otázky s tázacím zájmenem</b> se tvoří pomocí inverze pomocného slovesa 'will' a podmětu, následovanou základním tvarem slovesa a tázacím zájmenem.</p><br /><p class='pl-2'><b>Will + subject + verb + question word?</b></p><p><span class='inline-block w-44 pl-2'>Co budeš dělat?</span><b>What will you do?</b></p><br /><p class='pl-2'><b>Will + not + subject + verb + question word?</b></p><p><span class='inline-block w-44 pl-2'>Co nebudeš dělat?</span><b>What won't you do?</b></p>",38
39,"budoucí čas - be going to","<p><b>Budoucí čas - be going to</b> se v angličtině tvoří pomocí tvarů slovesa 'to be' v přítomném čase (am, is, are) následovaného 'going to' a základním tvarem slovesa.</p><br /><p><span class='inline-block w-44 pl-2'>Budu pracovat.</span><b>I am going to work.</b></p><p><span class='inline-block w-44 pl-2'>Budeš pracovat.</span><b>You are going to work.</b></p><p><span class='inline-block w-44 pl-2'>Bude pracovat.</span><b>He/She/It is going to work.</b></p><p><span class='inline-block w-44 pl-2'>Budeme pracovat.</span><b>We are going to work.</b></p><p><span class='inline-block w-44 pl-2'>Budete pracovat.</span><b>You are going to work.</b></p><p><span class='inline-block w-44 pl-2'>Budou pracovat.</span><b>They are going to work.</b></p>",39
40,"budoucí čas - be going to - zápor","<p><b>Budoucí čas - be going to - zápor</b> se v angličtině tvoří pomocí tvarů slovesa 'to be' v přítomném čase (am, is, are) následovaného záporkou 'not', 'going to' a základním tvarem slovesa.</p><br /><p><span class='inline-block w-44 pl-2'>Nebudu pracovat.</span><b>I am not going to work.</b></p><p><span class='inline-block w-44 pl-2'>Nebudeš pracovat.</span><b>You are not going to work.</b></p><p><span class='inline-block w-44 pl-2'>Nebude pracovat.</span><b>He/She/It is not going to work.</b></p><p><span class='inline-block w-44 pl-2'>Nebudeme pracovat.</span><b>We are not going to work.</b></p><p><span class='inline-block w-44 pl-2'>Nebudete pracovat.</span><b>You are not going to work.</b></p><p><span class='inline-block w-44 pl-2'>Nebudou pracovat.</span><b>They are not going to work.</b></p>",40
41,"budoucí čas - be going to - otázky ano/ne","<p><b>Budoucí čas - be going to - otázky ano/ne</b> se tvoří pomocí inverze tvarů slovesa 'to be' v přítomném čase (am, is, are) a podmětu, následovanou 'going to' a základním tvarem slovesa.</p><br /><p class='pl-2'><b>To be + subject + going to + verb?</b></p><p><span class='inline-block w-44 pl-2'>Budeš pracovat?</span><b>Are you going to work?</b></p><br /><p class='pl-2'><b>To be + not + subject + going to + verb?</b></p><p><span class='inline-block w-44 pl-2'>Nebudeš pracovat?</span><b>Aren't you going to work?</b></p><br /><p>Kratké odpovědi jsou shodné jako u prostého tvaru:</p><p><span class='inline-block w-44 pl-2'>Ano, budu.</span><b>Yes, I am.</b></p><p><span class='inline-block w-44 pl-2'>Ne, nebudu.</span><b>No, I'm not.</b></p>",41
42,"budoucí čas - be going to - otázky s tázacím zájmenem","<p><b>Budoucí čas - be going to - otázky s tázacím zájmenem</b> se tvoří pomocí inverze tvarů slovesa 'to be' v přítomném čase (am, is, are) a podmětu, následovanou 'going to', základním tvarem slovesa a tázacím zájmenem.</p><br /><p class='pl-2'><b>To be + subject + going to + verb + question word?</b></p><p><span class='inline-block w-44 pl-2'>Co budeš dělat?</span><b>What are you going to do?</b></p><br /><p class='pl-2'><b>To be + not + subject + going to + verb + question word?</b></p><p><span class='inline-block w-44 pl-2'>Co nebudeš dělat?</span><b>What aren't you going to do?</b></p>",42
