id,name,note,sort_order,grammar_group_id
46,tvorba tázacích otázek,"<p>Tázací otázku tvoříme jako <b>tázací výraz + was / were + podmět</b>.</p><p>Například: <b>Where were you yesterday?</b> nebo <b>Why was she late?</b></p>",46,33
47,pravidelná slovesa,"<p>U pravidelných sloves tvoříme minulý čas obvykle přidáním koncovky <b>-ed</b>: <b>work – worked</b>.</p><p>U sloves zakončených na -e přidáváme jen -d. Souhláska + y se mění na -ied a u některých krátkých sloves se zdvojuje koncová souhláska.</p>",47,34
48,nepravidelná slovesa,"<p>Nepravidelná slovesa netvoří minulý čas pomocí -ed a jejich tvary je nutné se naučit.</p><p>Například: <b>go – went</b>, <b>see – saw</b>, <b>have – had</b>.</p>",48,34
49,tvorba záporu,"<p>Zápor v minulém čase prostém tvoříme pomocí <b>did not + základní tvar slovesa</b>.</p><p>Například: <b>She did not go.</b> Běžný zkrácený tvar je <b>didn't</b>.</p>",49,35
50,tvorba zjišťovacích otázek,"<p>Zjišťovací otázku tvoříme jako <b>Did + podmět + základní tvar slovesa?</b></p><p>Například: <b>Did they arrive?</b> Krátká odpověď je <b>Yes, they did.</b> nebo <b>No, they didn't.</b></p>",50,36
51,tvorba tázacích otázek,"<p>Tázací otázku tvoříme jako <b>tázací výraz + did + podmět + základní tvar slovesa</b>.</p><p>Například: <b>Where did you go?</b></p><p>Pokud je tázací výraz podmětem, did se nepoužívá: <b>Who called you?</b></p>",51,37
52,tvorba a použití,"<p>Budoucnost s will tvoříme jako <b>will + základní tvar slovesa</b>.</p><p>Používáme ji pro okamžitá rozhodnutí, sliby, nabídky a předpovědi: <b>I will help you.</b></p><p>Zkrácený tvar je <b>'ll</b>.</p>",52,38
53,tvorba záporu,"<p>Zápor tvoříme pomocí <b>will not + základní tvar slovesa</b>.</p><p>Běžný zkrácený tvar je <b>won't</b>: <b>She won't come.</b></p>",53,39
54,tvorba zjišťovacích otázek,"<p>Zjišťovací otázku tvoříme jako <b>Will + podmět + základní tvar slovesa?</b></p><p>Například: <b>Will you help me?</b> Krátká odpověď je <b>Yes, I will.</b> nebo <b>No, I won't.</b></p>",54,40
55,tvorba tázacích otázek,"<p>Tázací otázku tvoříme jako <b>tázací výraz + will + podmět + základní tvar slovesa</b>.</p><p>Například: <b>When will they arrive?</b></p>",55,41
56,tvorba a použití,"<p>Vazbu be going to tvoříme jako <b>am / is / are + going to + základní tvar slovesa</b>.</p><p>Používáme ji pro předem vytvořené záměry a předpovědi založené na současných důkazech: <b>It is going to rain.</b></p>",56,42
57,tvorba záporu,"<p>Zápor tvoříme přidáním <b>not</b> za am, is nebo are: <b>She is not going to travel.</b></p><p>Běžné jsou také tvary <b>isn't going to</b> a <b>aren't going to</b>.</p>",57,43
58,tvorba zjišťovacích otázek,"<p>Zjišťovací otázku tvoříme obrácením pořadí slovesa být a podmětu: <b>Am / Is / Are + podmět + going to + sloveso?</b></p><p>Například: <b>Are you going to study?</b></p>",58,44
59,tvorba tázacích otázek,"<p>Tázací otázku tvoříme jako <b>tázací výraz + am / is / are + podmět + going to + sloveso</b>.</p><p>Například: <b>What are they going to do?</b></p>",59,45
60,tvorba a použití,"<p>Nultá podmínka vyjadřuje obecné pravdy, pravidla a opakované následky.</p><p>Tvoří se jako <b>if + přítomný čas prostý, přítomný čas prostý</b>: <b>If you heat water, it boils.</b></p>",60,46
61,tvorba a použití,"<p>První podmínka vyjadřuje reálnou nebo pravděpodobnou možnost v budoucnosti.</p><p>Tvoří se jako <b>if + přítomný čas prostý, will + základní tvar slovesa</b>: <b>If it rains, we will stay home.</b></p>",61,47
62,tvorba a použití,"<p>Druhá podmínka vyjadřuje hypotetickou nebo málo pravděpodobnou situaci v přítomnosti či budoucnosti.</p><p>Tvoří se jako <b>if + minulý čas prostý, would + základní tvar slovesa</b>: <b>If I had more time, I would travel.</b></p><p>Ve formálnější angličtině se často používá <b>were</b> pro všechny osoby.</p>",62,48
63,tvorba a použití,"<p>Předpřítomný čas tvoříme jako <b>have / has + příčestí minulé</b>.</p><p>Používáme ho pro zkušenosti, nedávné výsledky a děje spojené se současností. Konkrétní ukončený čas zpravidla neuvádíme.</p><p>Například: <b>She has finished her work.</b></p>",63,49
64,tvorba záporu,"<p>Zápor tvoříme přidáním <b>not</b> za have nebo has: <b>have not / has not + příčestí minulé</b>.</p><p>Běžné zkrácené tvary jsou <b>haven't</b> a <b>hasn't</b>.</p>",64,50
65,tvorba zjišťovacích otázek,"<p>Zjišťovací otázku tvoříme jako <b>Have / Has + podmět + příčestí minulé?</b></p><p>Například: <b>Have you seen it?</b> Krátká odpověď je <b>Yes, I have.</b> nebo <b>No, I haven't.</b></p>",65,51
66,tvorba tázacích otázek,"<p>Tázací otázku tvoříme jako <b>tázací výraz + have / has + podmět + příčestí minulé</b>.</p><p>Například: <b>What has she done?</b></p>",66,52
67,tvorba a použití,"<p>Předpřítomný čas průběhový tvoříme jako <b>have / has been + sloveso-ing</b>.</p><p>Zdůrazňuje trvání nebo průběh děje, který začal v minulosti a pokračuje nebo má viditelný současný následek.</p><p>Například: <b>I have been waiting for an hour.</b></p>",67,53
68,tvorba záporu,"<p>Zápor tvoříme jako <b>have not / has not been + sloveso-ing</b>.</p><p>Běžné zkrácené tvary jsou <b>haven't been</b> a <b>hasn't been</b>.</p>",68,54
69,tvorba zjišťovacích otázek,"<p>Zjišťovací otázku tvoříme jako <b>Have / Has + podmět + been + sloveso-ing?</b></p><p>Například: <b>Has she been working?</b></p>",69,55
70,tvorba tázacích otázek,"<p>Tázací otázku tvoříme jako <b>tázací výraz + have / has + podmět + been + sloveso-ing</b>.</p><p>Například: <b>How long have you been waiting?</b></p>",70,56
71,tvorba a použití,"<p>Předminulý čas tvoříme jako <b>had + příčestí minulé</b>.</p><p>Používáme ho pro děj, který se odehrál před jiným dějem nebo okamžikem v minulosti: <b>She had left before I arrived.</b></p>",71,57
72,tvorba záporu,"<p>Zápor tvoříme jako <b>had not + příčestí minulé</b>.</p><p>Běžný zkrácený tvar je <b>hadn't</b>: <b>They hadn't finished.</b></p>",72,58
73,tvorba zjišťovacích otázek,"<p>Zjišťovací otázku tvoříme jako <b>Had + podmět + příčestí minulé?</b></p><p>Například: <b>Had she left?</b> Krátká odpověď je <b>Yes, she had.</b> nebo <b>No, she hadn't.</b></p>",73,59
74,tvorba tázacích otázek,"<p>Tázací otázku tvoříme jako <b>tázací výraz + had + podmět + příčestí minulé</b>.</p><p>Například: <b>Why had they stopped?</b></p>",74,60
75,tvorba a použití,"<p>Budoucí čas průběhový tvoříme jako <b>will be + sloveso-ing</b>.</p><p>Používáme ho pro děj, který bude probíhat v určitém okamžiku v budoucnosti: <b>This time tomorrow, I will be travelling.</b></p>",75,61
76,tvorba záporu,"<p>Zápor tvoříme jako <b>will not be + sloveso-ing</b>.</p><p>Běžný zkrácený tvar je <b>won't be</b>.</p>",76,62
77,tvorba zjišťovacích otázek,"<p>Zjišťovací otázku tvoříme jako <b>Will + podmět + be + sloveso-ing?</b></p><p>Například: <b>Will you be working?</b></p>",77,63
78,tvorba tázacích otázek,"<p>Tázací otázku tvoříme jako <b>tázací výraz + will + podmět + be + sloveso-ing</b>.</p><p>Například: <b>What will you be doing?</b></p>",78,64
79,tvorba a použití,"<p>Třetí podmínka vyjadřuje nereálnou minulou situaci a její hypotetický následek.</p><p>Tvoří se jako <b>if + předminulý čas, would have + příčestí minulé</b>: <b>If I had known, I would have helped.</b></p><p>Často vyjadřuje lítost nebo kritiku minulého rozhodnutí.</p>",79,65
80,trpný rod v přítomném čase,"<p>Trpný rod v přítomném čase tvoříme jako <b>am / is / are + příčestí minulé</b>.</p><p>Používáme ho, když je důležitější děj nebo jeho výsledek než vykonavatel: <b>The room is cleaned every day.</b></p>",80,66
81,trpný rod v minulém čase,"<p>Trpný rod v minulém čase tvoříme jako <b>was / were + příčestí minulé</b>.</p><p>Například: <b>The bridge was built in 1990.</b> Vykonavatele lze uvést pomocí <b>by</b>.</p>",81,67
82,trpný rod v předpřítomném čase,"<p>Trpný rod v předpřítomném čase tvoříme jako <b>have / has been + příčestí minulé</b>.</p><p>Například: <b>The work has been finished.</b></p>",82,68
83,trpný rod v budoucím čase,"<p>Trpný rod v budoucnosti s will tvoříme jako <b>will be + příčestí minulé</b>.</p><p>Například: <b>The results will be announced tomorrow.</b></p>",83,69
84,trpný rod v přítomném průběhovém čase,"<p>Trpný rod v přítomném průběhovém čase tvoříme jako <b>am / is / are being + příčestí minulé</b>.</p><p>Například: <b>The road is being repaired.</b></p>",84,70
85,určující vztažné věty,"<p>Určující vztažná věta poskytuje nezbytnou informaci o osobě nebo věci a neodděluje se čárkami.</p><p>Pro osoby používáme hlavně <b>who</b> nebo <b>that</b>, pro věci <b>which</b> nebo <b>that</b>: <b>The man who lives here is a doctor.</b></p><p>Vztažné zájmeno lze vynechat, pokud je ve větě předmětem.</p>",85,71
86,neurčující vztažné věty,"<p>Neurčující vztažná věta přidává doplňující informaci a odděluje se čárkami.</p><p>Používáme <b>who</b> pro osoby a <b>which</b> pro věci. <b>That</b> se v tomto typu vět běžně nepoužívá a vztažné zájmeno nelze vynechat.</p>",86,71
87,tvorba tázacích dovětků,"<p>Tázací dovětek se skládá z pomocného slovesa a zájmena. Kladná věta má obvykle záporný dovětek a záporná věta kladný.</p><p>Například: <b>She is here, isn't she?</b> a <b>You don't know him, do you?</b></p><p>Pomocné sloveso i čas se řídí hlavní větou.</p>",87,72
88,oznamovací věty,"<p>V nepřímé řeči často používáme <b>said (that)</b>. Když je uvozovací sloveso v minulosti, čas se obvykle posouvá: present simple na past simple, will na would a present perfect na past perfect.</p><p>Například: <b>She said that she was tired.</b></p>",88,73
89,změny osob a časových výrazů,"<p>Zájmena, přivlastňovací výrazy a časová nebo místní určení se mění podle pohledu mluvčího.</p><p>Například se může změnit <b>I</b> na <b>he / she</b>, <b>now</b> na <b>then</b>, <b>today</b> na <b>that day</b> a <b>here</b> na <b>there</b>.</p>",89,73
90,otázky a pokyny,"<p>Nepřímé otázky uvozujeme slovesy jako <b>asked</b>. U zjišťovacích otázek používáme <b>if / whether</b> a zachováváme oznamovací slovosled.</p><p>Pokyny a žádosti tvoříme jako <b>told / asked + osoba + to + sloveso</b>. Zápor má tvar <b>not to + sloveso</b>.</p>",90,73
91,used to,"<p>Vazba <b>used to + základní tvar slovesa</b> vyjadřuje minulý zvyk nebo stav, který už neplatí: <b>I used to live here.</b></p><p>Zápor se běžně tvoří jako <b>didn't use to</b> a otázka jako <b>Did + podmět + use to?</b></p>",91,74
