name,note,sort_order,grammar_group_id
tvorba tázacích otázek,"<p>Tázací otázku tvoříme jako <b>tázací výraz + did + podmět + základní tvar slovesa</b>.</p><p>Například: <b>Where did you go?</b></p><p>Pokud je tázací výraz podmětem, did se nepoužívá: <b>Who called you?</b></p>",50,37
tvorba a použití,"<p>Budoucnost s will tvoříme jako <b>will + základní tvar slovesa</b>.</p><p>Používáme ji pro okamžitá rozhodnutí, sliby, nabídky a předpovědi: <b>I will help you.</b></p><p>Zkrácený tvar je <b>'ll</b>.</p>",51,38
tvorba záporu,"<p>Zápor tvoříme pomocí <b>will not + základní tvar slovesa</b>.</p><p>Běžný zkrácený tvar je <b>won't</b>: <b>She won't come.</b></p>",52,39
tvorba zjišťovacích otázek,"<p>Zjišťovací otázku tvoříme jako <b>Will + podmět + základní tvar slovesa?</b></p><p>Například: <b>Will you help me?</b> Krátká odpověď je <b>Yes, I will.</b> nebo <b>No, I won't.</b></p>",53,40
tvorba tázacích otázek,"<p>Tázací otázku tvoříme jako <b>tázací výraz + will + podmět + základní tvar slovesa</b>.</p><p>Například: <b>When will they arrive?</b></p>",54,41
tvorba a použití,"<p>Vazbu be going to tvoříme jako <b>am / is / are + going to + základní tvar slovesa</b>.</p><p>Používáme ji pro předem vytvořené záměry a předpovědi založené na současných důkazech: <b>It is going to rain.</b></p>",55,42
tvorba záporu,"<p>Zápor tvoříme přidáním <b>not</b> za am, is nebo are: <b>She is not going to travel.</b></p><p>Běžné jsou také tvary <b>isn't going to</b> a <b>aren't going to</b>.</p>",56,43
tvorba zjišťovacích otázek,"<p>Zjišťovací otázku tvoříme obrácením pořadí slovesa být a podmětu: <b>Am / Is / Are + podmět + going to + sloveso?</b></p><p>Například: <b>Are you going to study?</b></p>",57,44
tvorba tázacích otázek,"<p>Tázací otázku tvoříme jako <b>tázací výraz + am / is / are + podmět + going to + sloveso</b>.</p><p>Například: <b>What are they going to do?</b></p>",58,45
tvorba a použití,"<p>Nultá podmínka vyjadřuje obecné pravdy, pravidla a opakované následky.</p><p>Tvoří se jako <b>if + přítomný čas prostý, přítomný čas prostý</b>: <b>If you heat water, it boils.</b></p>",59,46
tvorba a použití,"<p>První podmínka vyjadřuje reálnou nebo pravděpodobnou možnost v budoucnosti.</p><p>Tvoří se jako <b>if + přítomný čas prostý, will + základní tvar slovesa</b>: <b>If it rains, we will stay home.</b></p>",60,47
tvorba a použití,"<p>Druhá podmínka vyjadřuje hypotetickou nebo málo pravděpodobnou situaci v přítomnosti či budoucnosti.</p><p>Tvoří se jako <b>if + minulý čas prostý, would + základní tvar slovesa</b>: <b>If I had more time, I would travel.</b></p><p>Ve formálnější angličtině se často používá <b>were</b> pro všechny osoby.</p>",61,48
tvorba a použití,"<p>Předpřítomný čas tvoříme jako <b>have / has + příčestí minulé</b>.</p><p>Používáme ho pro zkušenosti, nedávné výsledky a děje spojené se současností. Konkrétní ukončený čas zpravidla neuvádíme.</p><p>Například: <b>She has finished her work.</b></p>",62,49
tvorba záporu,"<p>Zápor tvoříme přidáním <b>not</b> za have nebo has: <b>have not / has not + příčestí minulé</b>.</p><p>Běžné zkrácené tvary jsou <b>haven't</b> a <b>hasn't</b>.</p>",63,50
tvorba zjišťovacích otázek,"<p>Zjišťovací otázku tvoříme jako <b>Have / Has + podmět + příčestí minulé?</b></p><p>Například: <b>Have you seen it?</b> Krátká odpověď je <b>Yes, I have.</b> nebo <b>No, I haven't.</b></p>",64,51
tvorba tázacích otázek,"<p>Tázací otázku tvoříme jako <b>tázací výraz + have / has + podmět + příčestí minulé</b>.</p><p>Například: <b>What has she done?</b></p>",65,52
tvorba a použití,"<p>Předpřítomný čas průběhový tvoříme jako <b>have / has been + sloveso-ing</b>.</p><p>Zdůrazňuje trvání nebo průběh děje, který začal v minulosti a pokračuje nebo má viditelný současný následek.</p><p>Například: <b>I have been waiting for an hour.</b></p>",66,53
tvorba záporu,"<p>Zápor tvoříme jako <b>have not / has not been + sloveso-ing</b>.</p><p>Běžné zkrácené tvary jsou <b>haven't been</b> a <b>hasn't been</b>.</p>",67,54
tvorba zjišťovacích otázek,"<p>Zjišťovací otázku tvoříme jako <b>Have / Has + podmět + been + sloveso-ing?</b></p><p>Například: <b>Has she been working?</b></p>",68,55
tvorba tázacích otázek,"<p>Tázací otázku tvoříme jako <b>tázací výraz + have / has + podmět + been + sloveso-ing</b>.</p><p>Například: <b>How long have you been waiting?</b></p>",69,56
tvorba a použití,"<p>Předminulý čas tvoříme jako <b>had + příčestí minulé</b>.</p><p>Používáme ho pro děj, který se odehrál před jiným dějem nebo okamžikem v minulosti: <b>She had left before I arrived.</b></p>",70,57
tvorba záporu,"<p>Zápor tvoříme jako <b>had not + příčestí minulé</b>.</p><p>Běžný zkrácený tvar je <b>hadn't</b>: <b>They hadn't finished.</b></p>",71,58
tvorba zjišťovacích otázek,"<p>Zjišťovací otázku tvoříme jako <b>Had + podmět + příčestí minulé?</b></p><p>Například: <b>Had she left?</b> Krátká odpověď je <b>Yes, she had.</b> nebo <b>No, she hadn't.</b></p>",72,59
tvorba tázacích otázek,"<p>Tázací otázku tvoříme jako <b>tázací výraz + had + podmět + příčestí minulé</b>.</p><p>Například: <b>Why had they stopped?</b></p>",73,60
tvorba a použití,"<p>Budoucí čas průběhový tvoříme jako <b>will be + sloveso-ing</b>.</p><p>Používáme ho pro děj, který bude probíhat v určitém okamžiku v budoucnosti: <b>This time tomorrow, I will be travelling.</b></p>",74,61
tvorba záporu,"<p>Zápor tvoříme jako <b>will not be + sloveso-ing</b>.</p><p>Běžný zkrácený tvar je <b>won't be</b>.</p>",75,62
tvorba zjišťovacích otázek,"<p>Zjišťovací otázku tvoříme jako <b>Will + podmět + be + sloveso-ing?</b></p><p>Například: <b>Will you be working?</b></p>",76,63
tvorba tázacích otázek,"<p>Tázací otázku tvoříme jako <b>tázací výraz + will + podmět + be + sloveso-ing</b>.</p><p>Například: <b>What will you be doing?</b></p>",77,64
tvorba a použití,"<p>Třetí podmínka vyjadřuje nereálnou minulou situaci a její hypotetický následek.</p><p>Tvoří se jako <b>if + předminulý čas, would have + příčestí minulé</b>: <b>If I had known, I would have helped.</b></p><p>Často vyjadřuje lítost nebo kritiku minulého rozhodnutí.</p>",78,65
trpný rod v přítomném čase,"<p>Trpný rod v přítomném čase tvoříme jako <b>am / is / are + příčestí minulé</b>.</p><p>Používáme ho, když je důležitější děj nebo jeho výsledek než vykonavatel: <b>The room is cleaned every day.</b></p>",79,66
trpný rod v minulém čase,"<p>Trpný rod v minulém čase tvoříme jako <b>was / were + příčestí minulé</b>.</p><p>Například: <b>The bridge was built in 1990.</b> Vykonavatele lze uvést pomocí <b>by</b>.</p>",80,67
trpný rod v předpřítomném čase,"<p>Trpný rod v předpřítomném čase tvoříme jako <b>have / has been + příčestí minulé</b>.</p><p>Například: <b>The work has been finished.</b></p>",81,68
trpný rod v budoucím čase,"<p>Trpný rod v budoucnosti s will tvoříme jako <b>will be + příčestí minulé</b>.</p><p>Například: <b>The results will be announced tomorrow.</b></p>",82,69
trpný rod v přítomném průběhovém čase,"<p>Trpný rod v přítomném průběhovém čase tvoříme jako <b>am / is / are being + příčestí minulé</b>.</p><p>Například: <b>The road is being repaired.</b></p>",83,70
určující vztažné věty,"<p>Určující vztažná věta poskytuje nezbytnou informaci o osobě nebo věci a neodděluje se čárkami.</p><p>Pro osoby používáme hlavně <b>who</b> nebo <b>that</b>, pro věci <b>which</b> nebo <b>that</b>: <b>The man who lives here is a doctor.</b></p><p>Vztažné zájmeno lze vynechat, pokud je ve větě předmětem.</p>",84,71
neurčující vztažné věty,"<p>Neurčující vztažná věta přidává doplňující informaci a odděluje se čárkami.</p><p>Používáme <b>who</b> pro osoby a <b>which</b> pro věci. <b>That</b> se v tomto typu vět běžně nepoužívá a vztažné zájmeno nelze vynechat.</p>",85,71
tvorba tázacích dovětků,"<p>Tázací dovětek se skládá z pomocného slovesa a zájmena. Kladná věta má obvykle záporný dovětek a záporná věta kladný.</p><p>Například: <b>She is here, isn't she?</b> a <b>You don't know him, do you?</b></p><p>Pomocné sloveso i čas se řídí hlavní větou.</p>",86,72
oznamovací věty,"<p>V nepřímé řeči často používáme <b>said (that)</b>. Když je uvozovací sloveso v minulosti, čas se obvykle posouvá: present simple na past simple, will na would a present perfect na past perfect.</p><p>Například: <b>She said that she was tired.</b></p>",87,73
změny osob a časových výrazů,"<p>Zájmena, přivlastňovací výrazy a časová nebo místní určení se mění podle pohledu mluvčího.</p><p>Například se může změnit <b>I</b> na <b>he / she</b>, <b>now</b> na <b>then</b>, <b>today</b> na <b>that day</b> a <b>here</b> na <b>there</b>.</p>",88,73
otázky a pokyny,"<p>Nepřímé otázky uvozujeme slovesy jako <b>asked</b>. U zjišťovacích otázek používáme <b>if / whether</b> a zachováváme oznamovací slovosled.</p><p>Pokyny a žádosti tvoříme jako <b>told / asked + osoba + to + sloveso</b>. Zápor má tvar <b>not to + sloveso</b>.</p>",89,73
used to,"<p>Vazba <b>used to + základní tvar slovesa</b> vyjadřuje minulý zvyk nebo stav, který už neplatí: <b>I used to live here.</b></p><p>Zápor se běžně tvoří jako <b>didn't use to</b> a otázka jako <b>Did + podmět + use to?</b></p>",90,74
